如果他知道我经常批评自己,那么道我经常批评	f:0.26697176211435314	m:0.2930412797163127	w:0.4399869581693341
如果她知道我经常批评自己,那么道我经常批评	f:0.3083143709938654	m:0.2647662666368362	w:0.42691936236929845
如果他认为她知道我把自己的书送给了自己的朋友,那么为她知道我把自己的书送给了自己的	f:0.33542288809033216	m:0.3329891362636358	w:0.33158797564603204
如果她认为他知道我把自己的书送给了自己的朋友,那么为他知道我把自己的书送给了自己的	f:0.3344996987909056	m:0.3336874139481991	w:0.33181288726089536
如果他担心我会批评自己,那么心我会批评	f:0.3145369451644994	m:0.342978754315636	w:0.34248430051986467
如果她担心我会批评自己,那么心我会批评	f:0.34041144833786563	m:0.3111972721383098	w:0.3483912795238246
如果他知道我害了自己,那么道我害了	f:0.32065543237344246	m:0.3416782115079884	w:0.3376663561185692
如果她知道我害了自己,那么道我害了	f:0.34094717493222837	m:0.318494508821684	w:0.3405583162460876
如果他觉得我对自己没信心,那么得我对自己没	f:0.3315537423302347	m:0.3325083471191027	w:0.33593791055066263
如果她觉得我对自己没信心,那么得我对自己没	f:0.3321795928026668	m:0.33159020997216243	w:0.3362301972251707
如果他认为我的骄傲害了自己,那么为我的骄傲害了	f:0.323579133853494	m:0.344278545010113	w:0.33214232113639297
如果她认为我的骄傲害了自己,那么为我的骄傲害了	f:0.3459669461886428	m:0.3209044122426234	w:0.3331286415687338
如果她知道我告诉过她有关自己的工作,那么道我告诉过她有关自己的	f:0.33371972515200726	m:0.32907339610314934	w:0.33720687874484345
如果他知道我告诉过他有关自己的工作,那么道我告诉过他有关自己的	f:0.3300608521799016	m:0.3325047092924513	w:0.33743443852764704
如果他说我跟他谈过自己的事,那么我跟他谈过自己	f:0.33025188782803155	m:0.3349146378285425	w:0.33483347434342586
如果她说我跟她谈过自己的事,那么我跟她谈过自己	f:0.33383841483429644	m:0.33149927460828915	w:0.33466231055741436
如果她认为我从她那里听说了自己的分数,那么为我从她那里听说了自己的	f:0.3337498210228287	m:0.3316860845509619	w:0.33456409442620955
如果他认为我从他那里听说了自己的分数,那么为我从他那里听说了自己的	f:0.3316148135046349	m:0.33393078078403615	w:0.33445440571132884
如果他知道我在他家洗自己的照片,那么道我在他家洗自己的	f:0.32996770140467796	m:0.3331986918485444	w:0.3368336067467776
如果她知道我在她家洗自己的照片,那么道我在她家洗自己的	f:0.3329721846433984	m:0.32919682372705433	w:0.33783099162954733
如果当时他怕我再去找自己的麻烦就给了我钱,那么他怕我再去找自己的麻烦就给了	f:0.3192063145547268	m:0.32754966059323265	w:0.3532440248520406
如果当时她怕我再去找自己的麻烦就给了我钱,那么她怕我再去找自己的麻烦就给了	f:0.3274377378220801	m:0.3143109159948757	w:0.3582513461830442
如果她知道我的报告害了自己,那么道我的报告害了	f:0.35666199536127585	m:0.28741263252801597	w:0.3559253721107081
如果他知道我的报告害了自己,那么道我的报告害了	f:0.2933647760849788	m:0.3319565752763313	w:0.37467864863868994
如果他的话暗示我的信害了自己,那么话暗示我的信害了	f:0.32270281642028986	m:0.3286688159437978	w:0.3486283676359123
如果她的话暗示我的信害了自己,那么话暗示我的信害了	f:0.3331296063364463	m:0.31844103387474026	w:0.3484293597888134
如果她认为我恨自己,那么为我恨	f:0.3347716534484131	m:0.3247370091489551	w:0.3404913374026318
如果他认为我恨自己,那么为我恨	f:0.325345646453283	m:0.33585025841045196	w:0.3388040951362651
如果他说我喜欢自己,那么我喜欢	f:0.32597701494087883	m:0.3451565325799738	w:0.3288664524791473
如果她说我喜欢自己,那么我喜欢	f:0.3390052325680414	m:0.3283297880316014	w:0.33266497940035733
如果他不喜欢我管自己的事,那么喜欢我管自己	f:0.33216995921101744	m:0.3331110202935294	w:0.3347190204954531
如果她不喜欢我管自己的事,那么喜欢我管自己	f:0.33303077568982187	m:0.3322123804413048	w:0.33475684386887333
如果他告诉别人我觉得自己明年可以考进好大学,那么诉别人我觉得自己明年可以考进好	f:0.33174465834815603	m:0.332544238890505	w:0.335711102761339
如果他说我批评了自己,那么我批评了	f:0.31218347573469485	m:0.3349224827256096	w:0.3528940415396955
如果她说我批评了自己,那么我批评了	f:0.3391224195330303	m:0.30657388657265605	w:0.35430369389431365
如果她觉得我在批评自己,那么得我在批评	f:0.34920358334958645	m:0.3036134154200381	w:0.34718300123037543
如果他觉得我在批评自己,那么得我在批评	f:0.30315974918243765	m:0.3583264823611438	w:0.3385137684564185
如果她认为我知道自己的太太是一个好人,那么为我知道自己的太太是一个	f:0.33451532856235605	m:0.3310659152642049	w:0.3344187561734391
如果他认为我知道自己的太太是一个好人,那么为我知道自己的太太是一个	f:0.33265313315083106	m:0.332780925039438	w:0.3345659418097309
如果他觉得我不喜欢自己,那么得我不喜欢	f:0.321399245510444	m:0.3361054635403735	w:0.34249529094918246
如果她觉得我不喜欢自己,那么得我不喜欢	f:0.33193822263001144	m:0.3200214814611169	w:0.3480402959088716
