如果他说她反思自己,那么她反思	f:0.5156257756987755	m:0.48437422430122445
如果他说她反省自己,那么她反省	f:0.49123573300833523	m:0.5087642669916649
如果他说她坦白自己,那么她坦白	f:0.5100162227347687	m:0.4899837772652313
如果他说她提升自己,那么她提升	f:0.5115431689783527	m:0.4884568310216473
如果他说她炫耀自己,那么她炫耀	f:0.5213398663342796	m:0.4786601336657203
如果他说她调节自己,那么她调节	f:0.4967858060642181	m:0.5032141939357818
如果他说她坚持自己,那么她坚持	f:0.5032172690357204	m:0.4967827309642796
如果他说她交代自己,那么她交代	f:0.5029951366895357	m:0.49700486331046434
如果他说她计较自己,那么她计较	f:0.4895253142304578	m:0.5104746857695422
如果他说她检讨自己,那么她检讨	f:0.4756794647360187	m:0.5243205352639813
如果他说她卖弄自己,那么她卖弄	f:0.4939722358973122	m:0.5060277641026878
如果他说她表达自己,那么她表达	f:0.519369322866001	m:0.480630677133999
如果他说她表现自己,那么她表现	f:0.5228007702035861	m:0.477199229796414
如果他说她扭伤自己,那么她扭伤	f:0.48724481196795616	m:0.5127551880320438
