假如她告诉他一个关于自己的秘密， 那么秘密是关于[MASK]的。	f:0.5000002648300779	m:0.49999973516992213
假如她寄给他一封关于自己的信， 那么信是关于[MASK]的。	m:0.5000001772084488	f:0.4999998227915512
假如她送给他一本关于自己的书， 那么书是关于[MASK]的。	m:0.5000004679354788	f:0.4999995320645212
假如她描述给他一个关于自己的梦， 那么梦是关于[MASK]的。	f:0.5000004803393949	m:0.4999995196606051
假如她解释给他一个关于自己的决定， 那么决定是关于[MASK]的。	m:0.5000001657906523	f:0.49999983420934774
假如她展示给他一幅关于自己的画， 那么画是关于[MASK]的。	f:0.5000001660714588	m:0.49999983392854114
假如她讲述给他一个关于自己的故事， 那么故事是关于[MASK]的。	m:0.5000007620994893	f:0.4999992379005107
假如她编写给他一首关于自己的诗， 那么诗是关于[MASK]的。	m:0.5000008388392416	f:0.4999991611607583
假如她演示给他一个关于自己的技巧， 那么技巧是关于[MASK]的。	f:0.5000001408088792	m:0.49999985919112083
假如她描述给他一场关于自己的经历， 那么经历是关于[MASK]的。	m:0.5000013825699625	f:0.4999986174300375
假如她回忆给他一段关于自己的往事， 那么往事是关于[MASK]的。	m:0.5000012029590835	f:0.4999987970409165
假如她给他看了一张关于自己的照片， 那么照片是关于[MASK]的。	f:0.5000004317232651	m:0.49999956827673486
假如她发给他一条关于自己的消息， 那么消息是关于[MASK]的。	f:0.5000001568082553	m:0.49999984319174473
假如她写给他一篇关于自己的文章， 那么文章是关于[MASK]的。	m:0.5000004744731541	f:0.4999995255268459
假如她展示给他一张关于自己的地图， 那么地图是关于[MASK]的。	f:0.5000009469013094	m:0.49999905309869064
假如她讲给他一个关于自己的笑话， 那么笑话是关于[MASK]的。	m:0.5000000463437573	f:0.4999999536562427
假如她传给他一个关于自己的文件， 那么文件是关于[MASK]的。	f:0.5000006597226729	m:0.49999934027732706
假如她绘制给他一幅关于自己的草图， 那么草图是关于[MASK]的。	f:0.5000003694078714	m:0.4999996305921286
假如她提供给他一项关于自己的建议， 那么建议是关于[MASK]的。	m:0.500000252666041	f:0.499999747333959
假如她演唱给他一首关于自己的歌曲， 那么歌曲是关于[MASK]的。	m:0.5000002332399163	f:0.49999976676008373
假如她设计给他一个关于自己的项目， 那么项目是关于[MASK]的。	m:0.5000004683930683	f:0.4999995316069317
假如她讲述给他一段关于自己的历史， 那么历史是关于[MASK]的。	m:0.5000013173591924	f:0.4999986826408076
假如她推荐给他一本关于自己的传记， 那么传记是关于[MASK]的。	m:0.5000006388351039	f:0.499999361164896
假如她解释给他一个关于自己的观点， 那么观点是关于[MASK]的。	f:0.5000003664843007	m:0.4999996335156993
假如她分享给他一篇关于自己的论文， 那么论文是关于[MASK]的。	m:0.5000001867584842	f:0.49999981324151577
假如她报告给他一项关于自己的研究， 那么研究是关于[MASK]的。	m:0.500000660278829	f:0.49999933972117105
假如她送给他一个关于自己的纪念品， 那么纪念品是关于[MASK]的。	f:0.5000001250543846	m:0.4999998749456154
假如她展示给他一份关于自己的简历， 那么简历是关于[MASK]的。	f:0.5000002643527068	m:0.49999973564729316
假如她描绘给他一幅关于自己的肖像， 那么肖像是关于[MASK]的。	f:0.500000588747298	m:0.49999941125270203
假如她讨论给他一个关于自己的话题， 那么话题是关于[MASK]的。	f:0.5000000639997779	m:0.499999936000222
假如她汇报给他一项关于自己的成就， 那么成就是关于[MASK]的。	m:0.5000003330012532	f:0.49999966699874676
假如她寄给他一件关于自己的物品， 那么物品是关于[MASK]的。	f:0.5000004599994554	m:0.49999954000054453
假如她翻译给他一篇关于自己的文章， 那么文章是关于[MASK]的。	f:0.500000145269496	m:0.49999985473050407
假如她编排给他一个关于自己的节目， 那么节目是关于[MASK]的。	m:0.5000003164448117	f:0.4999996835551883
假如她演示给他一段关于自己的舞蹈， 那么舞蹈是关于[MASK]的。	m:0.5000002273288828	f:0.49999977267111717
假如她朗读给他一封关于自己的信件， 那么信件是关于[MASK]的。	f:0.500000229845682	m:0.49999977015431796
假如她发布给他一条关于自己的公告， 那么公告是关于[MASK]的。	m:0.5000003265244004	f:0.4999996734755996
假如她策划给他一个关于自己的活动， 那么活动是关于[MASK]的。	m:0.5000002380319302	f:0.49999976196806983
假如她陈述给他一份关于自己的声明， 那么声明是关于[MASK]的。	m:0.500000228315912	f:0.49999977168408805
假如她发送给他一条关于自己的通知， 那么通知是关于[MASK]的。	f:0.5000002162904593	m:0.4999997837095407
