在“她给他关于自己的书”这句话中，自己指的是	f:0.5028528857575713	m:0.49714711424242874
在“她给他关于自己的信”这句话中，自己指的是	f:0.5021543369490945	m:0.4978456630509055
在“她给他关于自己的结果”这句话中，自己指的是	f:0.501484866545453	m:0.49851513345454695
在“她给他关于自己的问题”这句话中，自己指的是	f:0.5020942565517368	m:0.49790574344826327
在“她给他关于自己的话”这句话中，自己指的是	f:0.5016055051937351	m:0.49839449480626496
在“她给他关于自己的成绩”这句话中，自己指的是	f:0.5032205136290925	m:0.4967794863709075
在“她给他关于自己的钱”这句话中，自己指的是	f:0.5024008566395535	m:0.4975991433604466
在“她给他关于自己的经验”这句话中，自己指的是	f:0.5027775478751387	m:0.4972224521248613
在“她给他关于自己的生日”这句话中，自己指的是	f:0.5038260666761686	m:0.4961739333238314
在“她给他关于自己的计划”这句话中，自己指的是	f:0.5033072942935883	m:0.4966927057064117
在“她给他关于自己的意见”这句话中，自己指的是	f:0.5025272154169942	m:0.49747278458300576
在“她给他关于自己的想法”这句话中，自己指的是	f:0.5051515663582231	m:0.4948484336417769
在“她送给他关于自己的书”这句话中，自己指的是	f:0.5029620777740438	m:0.4970379222259562
在“她送给他关于自己的信”这句话中，自己指的是	f:0.5020284541424455	m:0.4979715458575546
在“她送给他关于自己的结果”这句话中，自己指的是	f:0.5017738267867559	m:0.49822617321324414
在“她送给他关于自己的问题”这句话中，自己指的是	f:0.5020580175525503	m:0.49794198244744964
在“她送给他关于自己的话”这句话中，自己指的是	f:0.5015997832066242	m:0.49840021679337576
在“她送给他关于自己的成绩”这句话中，自己指的是	f:0.5029744751032262	m:0.4970255248967738
在“她送给他关于自己的钱”这句话中，自己指的是	f:0.5025367519156	m:0.49746324808439996
在“她送给他关于自己的经验”这句话中，自己指的是	f:0.5031661564104081	m:0.496833843589592
在“她送给他关于自己的生日”这句话中，自己指的是	f:0.5031137063915898	m:0.4968862936084102
在“她送给他关于自己的计划”这句话中，自己指的是	f:0.5031861827629096	m:0.49681381723709034
在“她送给他关于自己的意见”这句话中，自己指的是	f:0.5027417861777322	m:0.4972582138222678
在“她送给他关于自己的想法”这句话中，自己指的是	f:0.504274264164287	m:0.49572573583571294
在“她告诉他关于自己的书”这句话中，自己指的是	f:0.5039786452709424	m:0.4960213547290576
在“她告诉他关于自己的信”这句话中，自己指的是	f:0.5027918525461645	m:0.49720814745383546
在“她告诉他关于自己的结果”这句话中，自己指的是	f:0.5028767268327854	m:0.49712327316721455
在“她告诉他关于自己的问题”这句话中，自己指的是	f:0.5039095081852952	m:0.4960904918147047
在“她告诉他关于自己的话”这句话中，自己指的是	f:0.5022945242979935	m:0.4977054757020065
在“她告诉他关于自己的成绩”这句话中，自己指的是	f:0.5055944968946234	m:0.49440550310537656
在“她告诉他关于自己的钱”这句话中，自己指的是	f:0.5039519440695469	m:0.4960480559304531
在“她告诉他关于自己的经验”这句话中，自己指的是	f:0.504419688503811	m:0.49558031149618903
在“她告诉他关于自己的生日”这句话中，自己指的是	f:0.5057055857650705	m:0.4942944142349296
在“她告诉他关于自己的计划”这句话中，自己指的是	f:0.5061003518813026	m:0.49389964811869735
在“她告诉他关于自己的意见”这句话中，自己指的是	f:0.5044540180757732	m:0.49554598192422683
在“她告诉他关于自己的想法”这句话中，自己指的是	f:0.5063349194806334	m:0.4936650805193666
在“她通知他关于自己的书”这句话中，自己指的是	f:0.50493748827048	m:0.49506251172952004
在“她通知他关于自己的信”这句话中，自己指的是	f:0.503935732614835	m:0.49606426738516496
在“她通知他关于自己的结果”这句话中，自己指的是	f:0.5039452687656699	m:0.49605473123433
在“她通知他关于自己的问题”这句话中，自己指的是	f:0.5048559569371562	m:0.49514404306284376
在“她通知他关于自己的话”这句话中，自己指的是	f:0.5028023426353468	m:0.4971976573646531
在“她通知他关于自己的成绩”这句话中，自己指的是	f:0.50581333666352	m:0.49418666333648004
在“她通知他关于自己的钱”这句话中，自己指的是	f:0.5043162227375614	m:0.4956837772624386
在“她通知他关于自己的经验”这句话中，自己指的是	f:0.5052021056786282	m:0.49479789432137183
在“她通知他关于自己的生日”这句话中，自己指的是	f:0.5074014025297654	m:0.4925985974702346
在“她通知他关于自己的计划”这句话中，自己指的是	f:0.5071377673283533	m:0.49286223267164675
在“她通知他关于自己的意见”这句话中，自己指的是	f:0.5053875745299854	m:0.4946124254700146
在“她通知他关于自己的想法”这句话中，自己指的是	f:0.5073470549178851	m:0.49265294508211493
在“她寄给他关于自己的书”这句话中，自己指的是	f:0.5039734003938832	m:0.4960265996061169
在“她寄给他关于自己的信”这句话中，自己指的是	f:0.50308175952829	m:0.4969182404717099
在“她寄给他关于自己的结果”这句话中，自己指的是	f:0.5026955343408702	m:0.4973044656591298
在“她寄给他关于自己的问题”这句话中，自己指的是	f:0.5034989739488114	m:0.4965010260511887
在“她寄给他关于自己的话”这句话中，自己指的是	f:0.502396088377695	m:0.4976039116223051
在“她寄给他关于自己的成绩”这句话中，自己指的是	f:0.5045927663312351	m:0.49540723366876493
在“她寄给他关于自己的钱”这句话中，自己指的是	f:0.503666335196733	m:0.4963336648032671
在“她寄给他关于自己的经验”这句话中，自己指的是	f:0.5042323055308087	m:0.4957676944691912
在“她寄给他关于自己的生日”这句话中，自己指的是	f:0.5053499087376288	m:0.49465009126237136
在“她寄给他关于自己的计划”这句话中，自己指的是	f:0.5048516658071578	m:0.49514833419284215
在“她寄给他关于自己的意见”这句话中，自己指的是	f:0.503961003408269	m:0.4960389965917311
在“她寄给他关于自己的想法”这句话中，自己指的是	f:0.5065609027020064	m:0.49343909729799357
在“她提供他关于自己的书”这句话中，自己指的是	f:0.5019416711477563	m:0.4980583288522437
在“她提供他关于自己的信”这句话中，自己指的是	f:0.501692765444186	m:0.498307234555814
