如果罗伯特-乔丹明白她信任自己，那么她信任	f:0.5044592305360157	m:0.49554076946398434
如果她明白是建军在暗中保护着自己，那么建军在保护	f:0.5032444109641442	m:0.49675558903585576
如果他知道他们在说自己，那么他们在说	f:0.4972943395677771	m:0.5027056604322229
如果婆一见她就说他骗了自己，那么他骗了	f:0.5050248662347246	m:0.49497513376527535
如果她明白他还在跟着自己，那么他跟着	f:0.5098066246052302	m:0.4901933753947698
如果她发现他还在恶狠狠地看着自己，那么他在看着	f:0.5066380395577598	m:0.4933619604422402
如果姑娘却用如此凄楚的眼神看着他，仿佛恳求他来解救自己，那么他被恳求解救	f:0.49946911408492495	m:0.5005308859150751
如果德克尔仍在抚摸着贝丝的秀发，他真不愿意警察这个时候来打扰自己，那么警察打扰	f:0.49895158572455633	m:0.5010484142754437
如果建军本来在看电视，突然发觉母亲在注视着自己，那么母亲在注视着	f:0.4996955512700602	m:0.5003044487299397
如果校长忽然不说话了，建军知道她正打量着自己，那么她打量	f:0.5039220276378724	m:0.49607797236212753
如果他抬眼一瞥，看到她在看着自己，那么她在看着	f:0.5083043647185005	m:0.4916956352814994
如果我咕哝着，担心他弄醒自己，那么我担心他弄醒	f:0.3262151682876619	m:0.3329728432282882	w:0.34081198848405
如果铂内尔发现那双灰眼睛正以奇异的目光注视着自己，那么眼睛正注视着	f:0.4996797483401241	m:0.5003202516598759
如果她感觉到男出纳的黑眼睛一动不动地盯着自己，那么眼睛正盯着	f:0.5035262254015215	m:0.4964737745984785
如果他看到丽娟怀疑地看着自己，那么丽娟看着	f:0.49863713129807286	m:0.5013628687019271
如果她不喜欢建军继续抚摸自己，那么建军抚摸	f:0.5056565083461	m:0.4943434916539
如果我甚至也希望丽娟能够这样来迎接自己，那么丽娟可以这样来迎接	f:0.33088089724212233	m:0.33085852548380207	w:0.3382605772740756
如果她一抬头，看到建军正在端详着自己，那么建军在端详	f:0.5026576354148644	m:0.49734236458513564
如果她觉得对面的日本兵非常不友好地看着自己，那么日本兵在看着	f:0.5042231953444838	m:0.4957768046555163
如果她相信一营的士兵们也都会这样嘲笑自己，那么士兵们嘲笑	f:0.503167521412608	m:0.496832478587392
如果她害怕他辞掉自己，那么他可能辞掉	f:0.510848718688741	m:0.48915128131125885
如果丽娟知道建军是有心救济自己，那么建军有心救济	f:0.4998958178054252	m:0.5001041821945749
如果他感到她在注意自己，那么她在注意	f:0.5018276656135728	m:0.49817233438642716
如果奥多太太还只道他看上了自己，那么他看上了	f:0.49492479537877093	m:0.5050752046212291
如果他看到她正微笑地注视着自己，那么她正注视着	f:0.5076195689217192	m:0.49238043107828067
如果建军忽然发觉女儿长得并不像自己，那么女儿不像	f:0.49959473934866383	m:0.5004052606513362
如果她看到知县大老爷也正在注目自己，那么知县大老爷正注目	f:0.5098716176761916	m:0.4901283823238085
如果突然他发现丽娟在看自己，那么丽娟在看	f:0.4979006126496042	m:0.5020993873503958
如果他只见丽娟正盯住自己，那么丽娟盯着	f:0.49890602088945	m:0.50109397911055
如果可他总觉得王太太在扭头望着自己，那么王太太望着	f:0.49817194565903483	m:0.5018280543409652
如果他知道它正在芦苇丛里仇恨地盯着自己，那么它盯着	f:0.33137234140200256	m:0.33608790565094177	t:0.3325397529470556
如果建军则害怕丽娟告发自己，那么丽娟告发	f:0.500292627776857	m:0.499707372223143
如果她希望建军能尽力挽留自己，那么建军挽留	f:0.5032471269792157	m:0.49675287302078436
如果他感到她又回避自己，那么她回避	f:0.502503020734392	m:0.4974969792656081
如果他发现丽娟也正在默默地注视着自己，那么丽娟在注视	f:0.4993522773860495	m:0.5006477226139505
如果她知道那年轻轿夫正在注视着自己，那么轿夫正注视着	f:0.5079879817416186	m:0.4920120182583814
如果建军看到丽娟站在门边，悲哀地望着自己，那么丽娟望着	f:0.5004650741289237	m:0.4995349258710763
如果她料不到建军会主动地强迫了自己，那么建军强迫了	f:0.5046597536264067	m:0.49534024637359336
如果她希望他来看看自己，那么他来看看	f:0.5063609074564254	m:0.4936390925435745
如果他不愿母亲靠近自己，那么母亲靠近	f:0.496614066736239	m:0.503385933263761
如果我觉得丈夫背叛了自己，那么丈夫背叛了	f:0.3281296443188944	m:0.3293296942472386	w:0.342540661433867
如果丽娟觉得他是有意避着自己，那么他在避着	f:0.49749789385967164	m:0.5025021061403283
如果建军却感到她是在冷眼看着自己，那么她看着	f:0.507667166889785	m:0.492332833110215
如果但丽娟发现他并没有认出自己，那么他没有认出	f:0.4979555894815391	m:0.5020444105184608
如果父亲看见母亲从她幽居的高处俯视着自己，那么母亲俯视着	f:0.5024039301659233	m:0.4975960698340767
如果建军觉得人们好像在纷纷躲避自己，那么人们在躲避	f:0.4996863825083173	m:0.5003136174916827
如果她热切地盼望着建军前来找自己，那么建军会来找	f:0.505373883927588	m:0.49462611607241197
如果建军好像听到丽娟正在身边取笑自己，那么丽娟在取笑	f:0.5000628980047942	m:0.49993710199520575
如果她无意中发现他正在看着自己，那么他在看着	f:0.509041600814713	m:0.49095839918528694
如果建军怀疑她是在有意躲避自己，那么她在躲避	f:0.5030573246258069	m:0.49694267537419307
如果他在回来的路上仍不相信丽娟会真的喜欢自己，那么丽娟喜欢	f:0.4988949871568099	m:0.50110501284319
如果建军感到连母亲也抛弃了自己，那么母亲抛弃了	f:0.49962305492819603	m:0.500376945071804
如果她看到安全部头子的脸从银行大楼的一扇窗子后边注视着自己，那么安全部头子在注视着	f:0.504012020503922	m:0.4959879794960779
如果建军没想到丽娟会反问自己，那么丽娟反问	f:0.5000197358312913	m:0.4999802641687086
如果他没有等着她过来拥抱自己，那么她过来拥抱	f:0.500454277490065	m:0.499545722509935
如果他环顾了一下四周，发觉这个丽娟正诚挚地注视着自己，那么丽娟正注视着	f:0.49934283879707336	m:0.5006571612029267
如果她一抬头，看到建军正在端详着自己，那么建军正端详着	f:0.5067364538987951	m:0.4932635461012048
如果她听不惯别人称赞自己，那么别人称赞	f:0.5114930546779803	m:0.48850694532201966
如果但他知道她是好心来救自己，那么她是好心来救	f:0.5057496916046503	m:0.4942503083953497
如果她发觉他带着奇怪的目光注视着自己，那么他注视着	f:0.506271555961434	m:0.493728444038566
如果他知道它正在芦苇丛里仇恨地盯着自己，那么它盯着	f:0.33137234140200256	m:0.33608790565094177	t:0.3325397529470556
如果建军做梦也没想到丽娟竟然这样回答自己，那么丽娟回答	f:0.4999608469225568	m:0.5000391530774432
如果建军则害怕丽娟告发自己，那么丽娟告发	f:0.500292627776857	m:0.499707372223143
如果建军看见她们边笑边回头望他，便知道她们是在聊自己，那么她们在聊	f:0.5021485966740674	m:0.49785140332593253
如果他感到她又回避自己，那么她回避	f:0.502503020734392	m:0.4974969792656081
如果她看见建军正在一年级空无一人的教室前面等着自己，那么建军在等	f:0.5047556859271161	m:0.49524431407288394
