他知道她经常批评[MASK]自己。	m:0.5607826242888873	f:0.4392173757111127
他知道她把[MASK]自己的书送给了朋友。	f:0.6362351576296034	m:0.3637648423703967
他担心她会批评[MASK]自己。	m:0.6198117365340234	f:0.3801882634659766
他知道她害了[MASK]自己。	m:0.6641066674836598	f:0.33589333251634024
他觉得她对[MASK]自己没信心。	m:0.5900427281435209	f:0.4099572718564792
他认为她的骄傲害了[MASK]自己。	f:0.5661777753176619	m:0.43382222468233805
他知道她告诉过他有关[MASK]自己的工作。	f:0.5482342225934531	m:0.45176577740654683
他说她跟他谈过[MASK]自己的事。	f:0.5883274817025181	m:0.41167251829748175
他认为她从他那里听说了[MASK]自己的分数。	f:0.5279235342593308	m:0.4720764657406692
他知道她在他家洗[MASK]自己的照片。	f:0.503099666314508	m:0.496900333685492
他不喜欢她管[MASK]自己的事。	m:0.5248405180911698	f:0.4751594819088302
他知道她的报告害了[MASK]自己。	m:0.6102569568169511	f:0.38974304318304887
他的话暗示她的信害了[MASK]自己。	f:0.6064297101117856	m:0.39357028988821446
他认为她恨[MASK]自己。	m:0.5132424235228671	f:0.48675757647713297
他说她喜欢[MASK]自己。	f:0.5217068980971724	m:0.47829310190282753
他告诉别人她觉得[MASK]自己明年可以考进好大学。	f:0.5533728598460315	m:0.44662714015396854
他说她批评了[MASK]自己。	f:0.5883951097457143	m:0.41160489025428576
他觉得她在批评[MASK]自己。	m:0.6760138917769158	f:0.3239861082230842
他认为她知道[MASK]自己的朋友是一个好人。	f:0.5082856598303527	m:0.4917143401696472
他觉得她不喜欢[MASK]自己。	m:0.6321718036870344	f:0.3678281963129656
