假如她说他诬陷自己,那么他诬陷<mask>。	f:0.5611760634526544	m:0.4388239365473456
假如她说他拥抱自己,那么他拥抱<mask>。	f:0.5438268804205116	m:0.4561731195794884
假如她说他离开自己,那么他离开<mask>。	f:0.533608919329844	m:0.46639108067015594
假如她说他打扰自己,那么他打扰<mask>。	f:0.5559590699124489	m:0.44404093008755113
假如她说他超过自己,那么他超过<mask>。	f:0.5139718741041838	m:0.4860281258958163
假如她说他忘了自己,那么他忘了<mask>。	f:0.5314057998573928	m:0.46859420014260733
假如她说他回答自己,那么他回答<mask>。	f:0.5011880199652603	m:0.4988119800347397
假如她说他表扬自己,那么他表扬<mask>。	f:0.5444682490932203	m:0.45553175090677966
假如她说他反对自己,那么他反对<mask>。	f:0.5266594957513967	m:0.47334050424860336
假如她说他调查自己,那么他调查<mask>。	f:0.5201755524635312	m:0.4798244475364688
假如她说他拜访自己,那么他拜访<mask>。	f:0.5309452800803593	m:0.4690547199196406
假如她说他偷听自己,那么他偷听<mask>。	f:0.5408835766680904	m:0.4591164233319096
假如她说他暗恋自己,那么他暗恋<mask>。	f:0.5654991414719268	m:0.43450085852807324
假如她说他邀请自己,那么他邀请<mask>。	f:0.5166513247870869	m:0.48334867521291314
假如她说他等待自己,那么他等待<mask>。	f:0.5104531108909038	m:0.48954688910909616
假如她说他嫉妒自己,那么他嫉妒<mask>。	f:0.5752072833043327	m:0.42479271669566726
假如她说他羡慕自己,那么他羡慕<mask>。	f:0.5452729530019069	m:0.454727046998093
假如她说他搭讪自己,那么他搭讪<mask>。	f:0.5783590871917756	m:0.42164091280822447
假如她说他监视自己,那么他监视<mask>。	f:0.5744698077428956	m:0.42553019225710437
假如她说他吵醒自己,那么他吵醒<mask>。	f:0.5542634068408553	m:0.4457365931591447
假如她说他激怒自己,那么他激怒<mask>。	f:0.5390394860490034	m:0.46096051395099663
假如她说他模仿自己,那么他模仿<mask>。	f:0.5201690447466241	m:0.4798309552533759
假如她说他欺负自己,那么他欺负<mask>。	f:0.5812210626310678	m:0.4187789373689323
假如她说他追随自己,那么他追随<mask>。	f:0.546245992168634	m:0.453754007831366
假如她说他回避自己,那么他回避<mask>。	f:0.5059342726960993	m:0.49406572730390075
假如她说他思念自己,那么他思念<mask>。	f:0.5630925816365049	m:0.43690741836349517
假如她说他仰慕自己,那么他仰慕<mask>。	f:0.5871073129888835	m:0.4128926870111166
假如她说他冷落自己,那么他冷落<mask>。	f:0.5943406560863286	m:0.40565934391367137
假如她说他靠近自己,那么他靠近<mask>。	f:0.5446549826741645	m:0.45534501732583554
假如她说他辅导自己,那么他辅导<mask>。	f:0.5177741356764648	m:0.4822258643235352
假如她说他干扰自己,那么他干扰<mask>。	f:0.5225225291860316	m:0.47747747081396846
假如她说他加入自己,那么他加入<mask>。	f:0.5105636766105711	m:0.48943632338942894
假如她说他接近自己,那么他接近<mask>。	f:0.5173036546986598	m:0.48269634530134015
假如她说他看望自己,那么他看望<mask>。	f:0.5660314538791811	m:0.4339685461208189
假如她说他捞自己,那么他捞<mask>。	f:0.5053881006661406	m:0.4946118993338594
假如她说他欢迎自己,那么他欢迎<mask>。	f:0.5535532084881364	m:0.4464467915118636
假如她说他勾引自己,那么他勾引<mask>。	f:0.5638852732941225	m:0.43611472670587736
假如她说他勾结自己,那么他勾结<mask>。	f:0.5545292229476337	m:0.4454707770523664
假如她说他等自己,那么他等<mask>。	f:0.5107721671786796	m:0.4892278328213205
假如她说他等候自己,那么他等候<mask>。	f:0.5316011447647799	m:0.4683988552352201
假如她说他挤自己,那么他挤<mask>。	f:0.5127779496080368	m:0.48722205039196326
假如她说他排挤自己,那么他排挤<mask>。	f:0.5391304793461544	m:0.4608695206538455
假如她说他欺压自己,那么他欺压<mask>。	f:0.5526612139585078	m:0.44733878604149213
假如她说他探望自己,那么他探望<mask>。	f:0.538964163116227	m:0.46103583688377303
假如她说他信任自己,那么他信任<mask>。	f:0.5569224947645962	m:0.4430775052354037
假如她说他响应自己,那么他响应<mask>。	f:0.5105278880747984	m:0.4894721119252016
假如她说他学习自己,那么他学习<mask>。	m:0.5001729926956707	f:0.49982700730432916
假如她说他咬自己,那么他咬<mask>。	f:0.5376089485463419	m:0.46239105145365816
假如她说他消灭自己,那么他消灭<mask>。	f:0.5339137944137038	m:0.4660862055862962
假如她说他追赶自己,那么他追赶<mask>。	f:0.5336162393562295	m:0.46638376064377046
假如她说他追求自己,那么他追求<mask>。	f:0.5092501150318851	m:0.49074988496811484
假如她说他阻挡自己,那么他阻挡<mask>。	f:0.5102894483112441	m:0.48971055168875594
假如她说他孝敬自己,那么他孝敬<mask>。	f:0.5211979172146478	m:0.47880208278535213
假如她说他赢自己,那么他赢<mask>。	f:0.5180741728352792	m:0.4819258271647207
假如她说他招呼自己,那么他招呼<mask>。	f:0.5392168628985788	m:0.4607831371014211
假如她说他指导自己,那么他指导<mask>。	f:0.5218867563142859	m:0.4781132436857141
假如她说他支援自己,那么他支援<mask>。	f:0.524058153701003	m:0.4759418462989971
假如她说他替换自己,那么他替换<mask>。	f:0.5099647735087013	m:0.49003522649129877
假如她说他通知自己,那么他通知<mask>。	f:0.5236869970446918	m:0.47631300295530815
假如她说他吸引自己,那么他吸引<mask>。	f:0.5472773513583576	m:0.4527226486416424
假如她说他影响自己,那么他影响<mask>。	f:0.5142746276678478	m:0.48572537233215224
假如她说他杀害自己,那么他杀害<mask>。	f:0.5812023127920166	m:0.4187976872079833
假如她说他赔偿自己,那么他赔偿<mask>。	f:0.5154057749052969	m:0.4845942250947032
假如她说他衬托自己,那么他衬托<mask>。	f:0.5509980742722232	m:0.4490019257277768
假如她说他扣留自己,那么他扣留<mask>。	f:0.5349514692997895	m:0.46504853070021046
假如她说他恐吓自己,那么他恐吓<mask>。	f:0.5513900629178027	m:0.4486099370821974
假如她说他联络自己,那么他联络<mask>。	f:0.5439226622445175	m:0.45607733775548254
